Kingdom,Supergroup,Division,Subdivision,Class
Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Palmophyllophyceae
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Mamiellophyceae
Eukaryota,TSAR,Stramenopiles,Gyrista,Pelagophyceae
Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Embryophyceae
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chloropicophyceae
Eukaryota,TSAR,Stramenopiles,Gyrista,Bacillariophyceae
Eukaryota,Haptista,Haptophyta,Haptophyta_X,Prymnesiophyceae
Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyta_X
Eukaryota,TSAR,Stramenopiles,Gyrista,Dictyochophyceae
Eukaryota,Haptista,Haptophyta,Cryptophyta,Cryptophyceae
Eukaryota,TSAR,Stramenopiles,Gyrista,MOCH-2
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Prasino-Clade-9
Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae
Eukaryota,TSAR,Stramenopiles,Gyrista,MOCH-5
Eukaryota,TSAR,Stramenopiles,Gyrista,Bolidophyceae
Eukaryota,TSAR,Alveolata,Dinoflagellata,Noctilucophyceae
Eukaryota,Haptista,Haptophyta,Haptophyta_X,Haptophyta_XX
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Pyramimonadales
Eukaryota,TSAR,Stramenopiles,Gyrista,Phaeophyceae
Eukaryota,TSAR,Stramenopiles,Gyrista,MOCH-3
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,NaN
Eukaryota,TSAR,Stramenopiles,Gyrista,MOCH-4
Eukaryota,Archaeplastida,Chlorophyta_X,NaN,NaN
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Prasino-Clade-V
Eukaryota,Haptista,Haptophyta,Haptophyta_X,NaN
Eukaryota,Haptista,Haptophyta,Haptophyta_X,Haptophyta_Clade_HAP2
Eukaryota,Haptista,Haptophyta,Haptophyta_X,Haptophyta_Clade_HAP3
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorodendrophyceae
Eukaryota,TSAR,Stramenopiles,Gyrista,Raphidophyceae
Eukaryota,Haptista,Haptophyta,Haptophyta_X,Haptophyta_Clade_HAP5
Eukaryota,Haptista,Haptophyta,Haptophyta_X,Haptophyta_Clade_HAP4
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae
Eukaryota,TSAR,Alveolata,Dinoflagellata,Ellobiophyceae
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Ulvophyceae
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyta_X
Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,NaN
Eukaryota:plas,TSAR,Stramenopiles:plas,Ochrophyta:plas,Bacillariophyta:plas
Eukaryota:nucl,Cryptista:nucl,Cryptophyta:nucl,Cryptophyta:nucl,Cryptophyceae:nucl
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Pyramimonadophyceae
Eukaryota,Archaeplastida,Prasinodermophyta,Prasinodermophyta_X,Prasinodermophyceae
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Prasino-Clade-VIII
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Trebouxiophyceae
Eukaryota,Haptista,Haptophyta,Haptophyta_X,Rappephyceae
Eukaryota:plas,Archaeplastida:plas,Chlorophyta:plas,Chlorophyta_X,NaN
Eukaryota:plas,Archaeplastida:plas,Chlorophyta:plas,Chlorophyta_X:plas,Chloropicophyceae:plas